views,likes,dislikes,comment_count
249592,4464,214,1859
107804,2066,182,864
484423,28135,294,2335
94699,616,78,387
3411918,70498,4985,3957
114743,1515,220,854
534517,3552,419,1154
1447525,45408,1073,6395
432537,19751,348,2209
100403,485,162,401
203806,11218,63,602
278147,10515,245,814
35741,470,39,121
704358,125902,1427,18814
198917,5795,141,413
218191,10057,434,1617
348532,4246,918,2495
1611877,27286,1482,1112
960271,8827,340,1974
81759,5896,166,864
596888,29736,523,1768
2812994,61589,4613,4822
147835,4963,74,230
254539,2288,246,1427
2251398,19574,1351,2264
246852,2638,56,157
98671,4776,132,476
436560,14900,281,1341
240325,580,372,340
19484,0,0,3
204841,548,148,894
882248,4458,579,1446
288958,9031,235,425
146034,510,159,23
244645,20895,75,5822
756962,22854,2983,2902
392494,15477,157,2210
592585,12747,535,3653
288228,1384,62,523
149999,13081,186,1425
4799436,98414,2650,12089
418689,40628,1038,4520
490399,18910,188,2408
799694,19416,860,6617
914063,31150,1471,9449
304373,1495,182,281
138544,2015,222,662
358247,3052,162,1118
329429,30515,259,2114
52797,1790,11,461
186948,547,176,843
99726,735,22,210
336907,18768,177,603
58678,213,11,7
49018,3724,212,1044
653056,37634,638,783
491410,12056,395,3099
270451,976,126,258
1448352,76718,1017,4539
3103327,66270,5502,3197
608317,32555,357,1093
149322,12287,111,2568
207093,8111,21,1765
364124,26995,210,1121
695263,11947,576,802
438492,20384,1500,2674
677914,15263,532,3376
63336,3936,69,957
102357,7878,23,527
157868,527,102,918
113575,755,81,155
57440,1216,40,1062
748327,52654,705,2170
78677,1032,73,204
95253,118,41,40
230412,32669,257,7836
1129476,17163,767,1225
751525,77458,566,3164
709727,5271,274,1539
2002223,95909,1080,5624
4746854,157941,2072,23205
9779219,283197,6202,13116
11072585,119373,10400,20757
9856767,201288,7805,10718
29943556,1388756,54752,79828
4263588,137033,3049,6496
1089539,12443,886,1174
794755,13428,258,1859
8533826,180591,4104,32468
1280763,54022,586,4521
